id,name
1,arrow
2,integral
3,tipa
4,textcomp
5,music
6,greek-alphabet
7,arabic-numeral
8,image
9,currency
10,astronomy
11,cyrillic-alphabet
12,wasysym
13,latin-alphabet
14,set
15,dsfont
16,zodiac-sign
17,marvosym
18,mathrsfs
19,dots
20,amsmath
21,amssymb
22,stmaryrd
23,brackets
24,inequality
25,diacritic
26,emoticon
27,big-variant
28,cmll
29,upgreek
30,esint
31,mathabx
32,babel
33,musixtex
34,txfonts
35,circled
36,mnsymbol
37,logic
38,harpoon
39,polygon
40,punctuation-mark
41,horizontal-line
42,not
43,short-variant
44,long-variant
